channel_id,artist_name_fa,api_video_title,view_count,like_count,licensed_content,category_id,duration,screening_status_v2,screening_reason_v2
UCIsP6PqqS0IJ4tQroGs39dA,علیرضا قربانی,صدای آسمانی استاد علیرضا قربانی در ترانه روزگار غریب,320897,3080.0,False,24,PT2M43S,needs_review,insufficient_evidence
UCLqt9UYZ1KHgPRfGJjIzX9A,محسن یگانه,صحبت های محسن یگانه در مورد جنگ ایران و اسرائیل و اجرای کنسرت رایگان,1436,13.0,False,20,PT1M44S,likely_non_release,non_release_title_pattern
UCM-IfEJlVROv5Ev04-uIbKg,هیچکس,هیچکس و پیشرو و تتلو ۱۳۸۳ #هیچکس #پیشرو #تتلو #رپفارس #رپر_ایرانی #رپفارسی #رپ #اجرای_زنده,115298,1373.0,False,22,PT16S,likely_non_release,too_short_under_90_seconds
UCObiBmofF-Cz-zmaA4AwUiQ,هیچکس,Rooye Jenazat Miraghsam Hichkasروی جنازت میرقصم هیچکس,29139,467.0,False,22,PT4M39S,needs_review,insufficient_evidence
UCPXz0-xxF-CpeygWBdyG8dg,علیرضا قربانی,کنسرت علیرضا قربانی، آمده ام تو به داد دلم برسی... Alireza Ghorbani,20304,227.0,False,22,PT3M53S,likely_non_release,non_release_title_pattern
UCQycZB9MF-PAouhfh_DCk7Q,محسن یگانه,کنسرت 2 آبان 1404 محسن یگانه - Mohsen Yeganeh Concert,17962,281.0,False,22,PT1H40M26S,likely_non_release,too_long_over_15_minutes
UCU5NicMWNILYk1nbxJkCzsA,علیرضا قربانی,علیرضا قربانی - رسوای زمانه - Alireza Ghorbani - Rosvaye Zamaneh,4942724,15603.0,False,10,PT8M16S,needs_review,insufficient_evidence
UCWTApkr82_QxpEr9Pa2m1CQ,هیچکس,ROOYE JENAZAT MIRAGHSAM - TRUMP & HICHKAS :) فیت ترامپ و هیچکس SOHEIL KHODABANDEH - CLUB VERSION,5050,146.0,False,10,PT2M18S,needs_review,insufficient_evidence
UCXx7IRnRe5w3iCS3b5ji-3g,هیچکس,هیچکس و زد بازی رو با خاک یکسان کرد🤣💀                              #shorts #امیرحسین_قیاسی #رپفارسی,1304938,20275.0,False,24,PT1M,likely_non_release,too_short_under_90_seconds
UCZ_EaorXnxxb-lr4Et2AZaQ,محسن یگانه,نمیدونستم محسن یگانه دخـتر داره و اینقدر هم شبیهشه😍🌱ig:@mohsen_yeganeh_saba,420568,4693.0,False,22,PT29S,likely_non_release,too_short_under_90_seconds
UCaBf4RgTCzJIEnvOlNuxYKw,محسن چاووشی,ویدئوی «حسبی الله» محسن چاوشی ,90846,4991.0,False,1,PT4M28S,needs_review,insufficient_evidence
UCbH4g2hM_uquaz5oqnfuCcQ,محسن یگانه,اجراى زنده ى آهنگهاى وقتى نيستى، گيرم بازم بيايى محسن يگانه/ Mohsen yeganeh old songs selection live,199790,1681.0,False,10,PT3M27S,needs_review,review_title_pattern_live_or_unplugged
UCd26HBP85gdHjA_BXfDJS0Q,هیچکس,"هیچکس ""یه روز خوب میاد"" hichkas",387014,3824.0,False,10,PT4M5S,needs_review,insufficient_evidence
UCg-gC2zxNjttTUiPMSuBydA,علیرضا قربانی,علیرضا قربانی و عالیم قاسمف,36266,594.0,False,22,PT5M27S,needs_review,insufficient_evidence
UChdqGZPSamzW8MgaopXHvcA,سهراب پاکزاد,ویدئویی که باعث دستگیری سهراب پاکزاد و بسته شدن پیج اش شد.,151768,2283.0,False,22,PT1M31S,likely_non_release,non_release_title_pattern
UCiEK11dphMbDnbSXNvLOFCg,همایون شجریان,Homayoun Shajarian - The Lord of The Secrets | همایون شجریان - خداوندان اسرار,403135,6411.0,False,10,PT43M41S,likely_non_release,too_long_over_15_minutes
UCk4z-69inYrGU91ekoiAdGA,هیچکس,Hichkas - Oon Mesle Dadasham Bood (With Lyrics) | (هیچکس - اون مثل داداشم بود (متن آهنگ,315527,2589.0,False,10,PT3M16S,needs_review,insufficient_evidence
UCkD9OfpMEjuCHgsWH0aYqRw,سهراب پاکزاد,واکنش سهراب پاکزاد: دختره جیغ میزنه وسط کنسرت ( تا آخر ببینید ),11217,146.0,False,24,PT26S,likely_non_release,too_short_under_90_seconds
UCkFy4v0k9tDYr0bYPiYu8MQ,محسن یگانه,Mohsen Yeghaneh Behet Ghol Midam concert كنسرت محسن يگانه - بهت قول ميدم Lyrics English & Français,265858,3275.0,False,10,PT4M50S,likely_non_release,non_release_title_pattern
UClXh_eGGA6q5qQ5QBhjLTFw,علیرضا قربانی,صدایی میان شعر و تقدیر؛ گفت‌وگوی اختصاصی با استاد علیرضا قربانی | بخش اول,10794,250.0,False,24,PT57M47S,likely_non_release,too_long_over_15_minutes
