channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes
UCGV-fV3AkEHYzf1iW2ADeMA,Day2DayWorld,1,1,0,0,همایون شجریان,entertainment,excluded,sources_41_60_manual_audit_2026-07-10; confidence=high
UCIsP6PqqS0IJ4tQroGs39dA,Iranian Diaspora | خانه ایرانیان خارج از کشور 🌍,1,1,0,0,علیرضا قربانی,media_or_news,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCLqt9UYZ1KHgPRfGJjIzX9A,Majid Noori,1,1,0,0,محسن یگانه,unknown,excluded,sources_61_80_manual_audit_2026-07-10; confidence=medium
UCM-IfEJlVROv5Ev04-uIbKg,RapFars,1,1,0,0,هیچکس,media_or_news,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCObiBmofF-Cz-zmaA4AwUiQ,زن زندگی آزادی ,1,1,0,0,هیچکس,fan_or_reupload,pending_review,sources_61_80_manual_audit_2026-07-10; confidence=low
UCPXz0-xxF-CpeygWBdyG8dg,Semi Journey,1,1,0,0,علیرضا قربانی,entertainment,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCQycZB9MF-PAouhfh_DCk7Q,NAVID KARATE,1,1,0,0,محسن یگانه,concert_channel,excluded,sources_61_80_manual_audit_2026-07-10; confidence=medium
UCU5NicMWNILYk1nbxJkCzsA,Faranak99,1,1,0,1,علیرضا قربانی,third_party_music,pending_review,sources_61_80_manual_audit_2026-07-10; confidence=medium
UCWTApkr82_QxpEr9Pa2m1CQ,Soheil Khodabandeh ,1,1,0,1,هیچکس,remix_channel,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCXx7IRnRe5w3iCS3b5ji-3g,Amyr IQ,1,1,0,0,هیچکس,media_or_news,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCZ_EaorXnxxb-lr4Et2AZaQ,ژلوفن,1,1,0,0,محسن یگانه,entertainment,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCaBf4RgTCzJIEnvOlNuxYKw,Sedkhareji | سدخارجی,1,1,0,0,محسن چاووشی,third_party_music,pending_review,sources_61_80_manual_audit_2026-07-10; confidence=medium
UCbH4g2hM_uquaz5oqnfuCcQ,Persian Music & Concerts,1,1,0,1,محسن یگانه,concert_channel,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCd26HBP85gdHjA_BXfDJS0Q,siavash1994,1,1,0,1,هیچکس,third_party_music,pending_review,sources_61_80_manual_audit_2026-07-10; confidence=medium
UCg-gC2zxNjttTUiPMSuBydA,musics 212,1,1,0,0,علیرضا قربانی,third_party_music,pending_review,sources_61_80_manual_audit_2026-07-10; confidence=low
UChdqGZPSamzW8MgaopXHvcA,Karizmaplus,1,1,0,0,سهراب پاکزاد,media_or_news,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCiEK11dphMbDnbSXNvLOFCg,AmirSadegh Rassouli,1,1,0,1,همایون شجریان,third_party_music,excluded,sources_61_80_manual_audit_2026-07-10; confidence=medium
UCk4z-69inYrGU91ekoiAdGA,FSocietySJ,1,1,0,1,هیچکس,fan_or_reupload,pending_review,sources_61_80_manual_audit_2026-07-10; confidence=medium
UCkD9OfpMEjuCHgsWH0aYqRw,Bamzo | بامزو,1,1,0,0,سهراب پاکزاد,entertainment,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UCkFy4v0k9tDYr0bYPiYu8MQ,Passions,1,1,0,1,محسن یگانه,educational_translation,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UClXh_eGGA6q5qQ5QBhjLTFw,idehistaofficial,1,1,0,0,علیرضا قربانی,media_or_news,excluded,sources_61_80_manual_audit_2026-07-10; confidence=high
UClp7AB4tDx0ioD1WSJNCBlQ,AA trap,1,1,0,0,هیچکس,media_or_news,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCoZSdMt8rbbMIWhtTglKbgQ,seyed amirhossien fallahasl,1,1,0,0,علیرضا قربانی,concert_channel,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCpG143VsbN_aNlxkHC9n1rA,arian2009,1,1,0,1,ساسی مانکن,third_party_music,pending_review,sources_81_91_manual_audit_2026-07-10; confidence=medium
UCpzPEdsHCpkrjFzkeKc6n3A,VividTv,1,1,0,0,ساسی مانکن,media_or_news,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCqMQlHv2vCC1hUvDGFvJqIw,Ali Fani,1,1,0,1,هیچکس,remix_channel,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCqZeJVn5evgB93CPe2QMypg,Naghmeha - Persian Songs and Poems نغمه ها و اشعار,1,1,0,0,همایون شجریان,third_party_music,pending_review,sources_81_91_manual_audit_2026-07-10; confidence=medium
UCvQF6ODadEBg5SESEbPWmcw,YounnesMusic ,1,1,0,0,گرشا رضایی,artist_owned,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCwjQElxgabbU4OIbAXxhYjA,RAP_FARSI,1,1,0,0,هیچکس,fan_or_reupload,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCxGDGm26uFZ9PJ3-JcXaPRA,Farhikhte_HipHop,1,1,0,1,هیچکس,media_or_news,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCxMWUitJjW5TxxzV6lzxEjA,Travel with me l سفر با سیمی,1,1,0,0,سهراب پاکزاد,entertainment,excluded,sources_81_91_manual_audit_2026-07-10; confidence=high
UCzIjGS-HRN9NNK3fkkv9fsw,pedro xavi,1,1,0,1,ساسی مانکن,third_party_music,pending_review,sources_81_91_manual_audit_2026-07-10; confidence=medium
