channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes,proposed_source_type,proposed_source_status,classification_confidence
UCtr7DrT-BGQnst11NLCsv_w,Persian Music,1,1,1,1,گرشا رضایی,unknown,pending_review,,trusted_music_platform,trusted,high
UCw5LO6ba1yNC3cps4Zu_1Hg,Mohsen Chavoshi - Topic,1,1,1,1,محسن چاووشی,unknown,pending_review,,topic,trusted,high
UCyGYNC7IQWWmyb_4h8OxElg,Raharecords - رهارکورد,1,1,1,1,علیرضا قربانی,unknown,pending_review,,label_or_distributor,trusted,high
UC-nWrwyltC2ibR8jp5y9Ucg,Moltafet Therapy,1,1,0,0,هیچکس,unknown,pending_review,,third_party_music,pending_review,medium
UC-rSD_7jPlK0uD8rlU12B1g,Filimo Medio,1,1,0,0,هیچکس,unknown,pending_review,,unknown,excluded,medium
UC2Oqki4KiHm8B9Im45WCZHQ,Music melody,1,1,0,0,ساسی مانکن,unknown,pending_review,,third_party_music,excluded,high
UC2zgju7z2H0g9qRmftG_1iA,Sam Gh,1,1,0,0,همایون شجریان,unknown,pending_review,,third_party_music,excluded,medium
UC3yxyivq_AXMRYu547R-9Rw,کنسرت ایرانی,1,1,0,0,محسن یگانه,unknown,pending_review,,concert_channel,excluded,high
UC4za7IvgFZguD8o-nS9LnaQ,Shahram Afshin,1,1,0,0,علیرضا قربانی,unknown,pending_review,,third_party_music,excluded,medium
UC5qpK8RV882s3J1aCI0umig,Ghaphlan Khaligh (Ghaflan Khaligh),1,1,0,1,ساسی مانکن,unknown,pending_review,,third_party_music,pending_review,medium
UC6-OazUqmbrVK_b1uMYcjfA,Radio Javan,1,1,0,1,ساسی مانکن,unknown,pending_review,,third_party_music,excluded,high
UC6uOk4kSCROrgKkdHKv2I7w,Mrspecial,1,1,0,1,گرشا رضایی,unknown,pending_review,,entertainment,excluded,high
UC70ecBCkLFaSAC5UCLPJHPA,RapFars,1,1,0,0,هیچکس,unknown,pending_review,,media_or_news,excluded,high
UC7zsmnc17R-LSTV4Dl5sN2w,Homayounshajarian fans,1,1,0,0,همایون شجریان,unknown,pending_review,,fan_or_reupload,excluded,high
UC9eV0XXaHkTvPYh0oIAvbfQ,simorq farhang,1,1,0,1,همایون شجریان,unknown,pending_review,,artist_owned,pending_review,medium
UCAJbSaWpLovszCdQoGxa2mA,Ebrahim Mohamadi,1,1,0,0,همایون شجریان,unknown,pending_review,,third_party_music,pending_review,low
UCCXJKONAosl9wdkS1x9XGvg,Justruler,1,1,0,1,محسن یگانه,unknown,pending_review,,third_party_music,pending_review,medium
UCFAIKt9lqX8_UR5avUWrQjg,StorySasy,1,1,0,0,ساسی مانکن,unknown,pending_review,,fan_or_reupload,excluded,high
UCG6dTZjThIJih8BBkeS3FaA,Hafdang Old Channel | کانال قدیمی هفدانگ,1,1,0,1,همایون شجریان,unknown,pending_review,,third_party_music,pending_review,medium
UCGV-fV3AkEHYzf1iW2ADeMA,Day2DayWorld,1,1,0,0,همایون شجریان,unknown,pending_review,,entertainment,excluded,high
