protocol,model,fold,held_out_artist,train_rows,test_rows,train_positive,train_negative,test_positive,test_negative,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,average_precision,tn,fp,fn,tp
leave_one_artist_out,logistic_regression_balanced,8,هیچکس,108,7,26,82,4,3,0.42857142857142855,0.5,0.0,0.0,1.0,0.0,0.4166666666666667,0.6845238095238095,3,0,4,0
leave_one_artist_out,logistic_regression_balanced,9,گرشا رضایی,104,11,30,74,0,11,0.9090909090909091,0.9090909090909091,0.0,0.0,0.9090909090909091,0.0,,,10,1,0,0
leave_one_artist_out,random_forest_balanced,1,ساسی مانکن,100,15,28,72,2,13,0.26666666666666666,0.3653846153846154,0.09090909090909091,0.5,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.31666666666666665,3,10,1,1
leave_one_artist_out,random_forest_balanced,2,سهراب پاکزاد,102,13,29,73,1,12,0.7692307692307693,0.4166666666666667,0.0,0.0,0.8333333333333334,0.0,0.6666666666666667,0.2,10,2,1,0
leave_one_artist_out,random_forest_balanced,3,علیرضا قربانی,106,9,26,80,4,5,0.4444444444444444,0.45,0.4,0.5,0.4,0.4444444444444444,0.44999999999999996,0.48214285714285715,2,3,2,2
leave_one_artist_out,random_forest_balanced,4,فرزاد فرزین,96,19,29,67,1,18,0.8947368421052632,0.9444444444444444,0.3333333333333333,1.0,0.8888888888888888,0.5,0.8888888888888888,0.3333333333333333,16,2,0,1
leave_one_artist_out,random_forest_balanced,5,محسن چاووشی,94,21,17,77,13,8,0.38095238095238093,0.47596153846153844,0.5,0.07692307692307693,0.875,0.13333333333333333,0.6057692307692308,0.6773027411185305,7,1,12,1
leave_one_artist_out,random_forest_balanced,6,محسن یگانه,103,12,26,77,4,8,0.6666666666666666,0.6875,0.5,0.75,0.625,0.6,0.59375,0.45,5,3,1,3
leave_one_artist_out,random_forest_balanced,7,همایون شجریان,107,8,29,78,1,7,0.25,0.5714285714285714,0.14285714285714285,1.0,0.14285714285714285,0.25,0.5714285714285714,0.25,1,6,0,1
leave_one_artist_out,random_forest_balanced,8,هیچکس,108,7,26,82,4,3,0.42857142857142855,0.5,0.0,0.0,1.0,0.0,0.25,0.5178571428571428,3,0,4,0
leave_one_artist_out,random_forest_balanced,9,گرشا رضایی,104,11,30,74,0,11,1.0,1.0,0.0,0.0,1.0,0.0,,,11,0,0,0
