channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes
UCHgdN_bLmnnuvt6bKn8Uxfw,Sasy - Topic,2,1,2,2,ساسی مانکن,unknown,pending_review,
UCX7iFtn4OnJYNLXyKQsnHGg,MELODIFA CLASSIC,2,1,2,2,همایون شجریان,unknown,pending_review,
UChysexdHBwnvEMDFuKiCUZw,HichkasVEVO,2,1,2,2,هیچکس,unknown,pending_review,
UCoOjmdECYvybtOOKtlwvsAw,RadioActive Zone,2,1,2,0,هیچکس,unknown,pending_review,
UCuGnnvoIOfRfkvYVHzTUWYQ,Persian Media Group,2,1,2,2,فرزاد فرزین,unknown,pending_review,
UC9PxiuAlnUmaAhe52mYeXeQ,Mohammad Fazlali,2,1,0,0,علیرضا قربانی,unknown,pending_review,
UCHZk9MrT3DGWmVqdsj5y0EA,BBC Persian,1,1,1,0,علیرضا قربانی,unknown,pending_review,
UCMPdfQnOy5Vu07j6C141FWQ,PUMP VOD,1,1,1,0,فرزاد فرزین,unknown,pending_review,
UCQlzBlY30F51MXStCS2KfGQ,Parsi Tv,1,1,1,0,محسن یگانه,unknown,pending_review,
UCQngZK1cnqB6C9A11wIPkvQ,Music City | موزیک شهر,1,1,1,1,محسن یگانه,unknown,pending_review,
UCVJZW-tOn3hFgeh0kZpSbjw,Mehdi Kord Art Group,1,1,1,1,محسن یگانه,unknown,pending_review,
UC_xcDPW-ARj59n1qhYaLOqQ,Alireza Ghorbani - Topic,1,1,1,1,علیرضا قربانی,unknown,pending_review,
UCa20QQoV4gaLv9XRki-ynWQ,PUTAK,1,1,1,0,هیچکس,unknown,pending_review,
UCfTyeE7jWJK6q7lTdIUv57w,Anoushiravan Rohani,1,1,1,1,همایون شجریان,unknown,pending_review,
UChLs096B3kOpLYhVK1ldSvg,Khosousi,1,1,1,1,همایون شجریان,unknown,pending_review,
UCkpVRmYsrxg4I8SsTQA2CkA,Masoud Masoumi,1,1,1,1,علیرضا قربانی,unknown,pending_review,
UCmp7UNNvJIkRTd44nC5PR9g,Saeed Afrough,1,1,1,1,گرشا رضایی,unknown,pending_review,
UCobfxWqSORuodnQ5rdNw-bw,Mohsen Yeganeh - Topic,1,1,1,1,محسن یگانه,unknown,pending_review,
UCtS_MyKAEqPJgw-WNPxb5cA,SINAVID,1,1,1,0,هیچکس,unknown,pending_review,
UCtnsBNReKiPjTZoz7qBZDlA,مجله خبری پرایم نیوز,1,1,1,0,ساسی مانکن,unknown,pending_review,
