channel_id,api_channel_title,custom_url,country,subscriber_count,video_count,view_count,api_channel_description
UCoZSdMt8rbbMIWhtTglKbgQ,seyed amirhossien fallahasl,@a_m_i_r_f,TR,611,223,348678,"Videos from Iran 🇮🇷
I’m seyyed amirhossein fallah asl
ویدیو هایی از ایران
سیدامیرحسین فلاح اصل"
UCpG143VsbN_aNlxkHC9n1rA,arian2009,@arian2009,,804,21,1642086,
UCpzPEdsHCpkrjFzkeKc6n3A,VividTv,@vividtvfarsi,TR,1490,107,1242727,"“به VividTV خوش آمدید🌹

جایی که حواشی داغ دنیا هرگز از چشمتون پنهون نمی‌مونه! 
از شایعات جنجالی گرفته تا رازهای پشت‌صحنه‌ی برنامه‌ها و درگیری‌های ستارگان روازنزدیک باماتجربه کن. 
اگر نمی‌خواهید هیچ خبری رو از دست بدید، حتما لایک کنید، کامنت بذارید و کانال رو سابسکرایب کنید. 
با VividTV همیشه اولین کسی باشید که از حواشی داغ تلویزیون باخبر می‌شه!”


وی ویدتی وی
vividtv
حواشی
حواشی سلبریتی
سلبریتی
پشت پرده
خبرفوری
حواشی هنرمندان ایران
اخبارسلبریتی ها
حاشیه سلبریتی ها
عکسهای سلبریتی ها
هنرمندان
بازیگران
سریال

#سلبریتی
#حواشی 
#حواشی_بازیگران 
#بازیگران_زن 
#فیلم  
#حواشی_هنرمندان
#بازیگران_مرد 
#خواننده 
#سریال 

"
UCqZeJVn5evgB93CPe2QMypg,Naghmeha - Persian Songs and Poems نغمه ها و اشعار,@naghmeha,SG,10000,69,2662928,کانال اشعار و نغمه های فارسی
UCvQF6ODadEBg5SESEbPWmcw,YounnesMusic ,@younnesmusic1998,,6670,555,7901508,"""This is my channel, where I share vibrant music, glimpses of my daily life, and my journey as both a percussion and keyboard player. My disability doesn't stop me from sharing my passion with the world.""

""این کانال من است، جایی که موسیقی پرجنب و جوش، نگاهی به زندگی روزمره‌ام و سفرم به عنوان نوازنده سازهای کوبه‌ای و کیبورد را به اشتراک می‌گذارم. ناتوانی من جلوی اشتیاقم به اشتراک‌گذاری علاقه‌ام با جهان را نمی‌گیرد.""

""هذا هو قناتي، حيث أشارك الموسيقى الحيوية، لمحات من حياتي اليومية، ورحلتي كعازف إيقاع وكيبورد. إعاقتي لا تمنعني من مشاركة شغفي مع العالم.""
"
UCwjQElxgabbU4OIbAXxhYjA,RAP_FARSI,@rap_farsi_q69,,787,49,383874,هیپ هاپی ها ساب کونن🙌🏽
UCxGDGm26uFZ9PJ3-JcXaPRA,Farhikhte_HipHop,@farhikhte_hiphop,DE,8390,220,20294353,"🎤 رسانه فرهیخته هیپ هاپ،اخبار صفر تا صد رپ فارسی تا موزیک های جدید ! 🎶🔥

اینجا قراره بهترین لحظات رپ فارسی رو تجربه کنیم! بررسی ترک‌های جدید، تحلیل فلو و تکست، واکنش به دیس‌ها و دیس‌بک‌ها و کلی محتوای خفن دیگه! 🎧🎬

اگه عاشق بیت، بار و هیپ‌هاپ ایرانی هستی، اینجا خونه‌ی توئه! سابسکرایب کن و زنگوله رو بزن که هیچ ویدیوی مهمی رو از دست ندی! 🚀🔥

رپ یعنی زندگی – پس پلی کن! 🎶


(برای همکاری از طریق تلگرام با ما در ارتباط باشید ✅👇🏾)


🎤 Farhikhte_Hip Hop Media, For News from Zero to One Hundred Persian Rap to New Music! 🎶🔥
Here we are going to experience the best moments of Persian rap!🇮🇷
Reviewing new tracks, analyzing flow and lyrics, reacting to diss and dissbacks and a lot of other cool content! 🎧🎬

If you love beats, bars and Iranian hip hop, this is your home! Subscribe and ring the bell so you don't miss any important videos! 🚀🔥 

Rap is life - so play! 🎶 

(For Collaberation : massege us on Telegram)✅👇🏾"
UCxMWUitJjW5TxxzV6lzxEjA,Travel with me l سفر با سیمی,@simitrip,,4600,38,4241469,"Travel | Cafe Lover | stylist |Cooking
اینجا لحظه های قشنگمو باهات شریک میشم🥰🙃
"
UCzIjGS-HRN9NNK3fkkv9fsw,pedro xavi,@bym2e,,930,38,1238569,
