channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes
UCIsP6PqqS0IJ4tQroGs39dA,Iranian Diaspora | خانه ایرانیان خارج از کشور 🌍,1,1,0,0,علیرضا قربانی,unknown,pending_review,
UCLqt9UYZ1KHgPRfGJjIzX9A,Majid Noori,1,1,0,0,محسن یگانه,unknown,pending_review,
UCM-IfEJlVROv5Ev04-uIbKg,RapFars,1,1,0,0,هیچکس,unknown,pending_review,
UCObiBmofF-Cz-zmaA4AwUiQ,زن زندگی آزادی ,1,1,0,0,هیچکس,unknown,pending_review,
UCPXz0-xxF-CpeygWBdyG8dg,Semi Journey,1,1,0,0,علیرضا قربانی,unknown,pending_review,
UCQycZB9MF-PAouhfh_DCk7Q,NAVID KARATE,1,1,0,0,محسن یگانه,unknown,pending_review,
UCU5NicMWNILYk1nbxJkCzsA,Faranak99,1,1,0,1,علیرضا قربانی,unknown,pending_review,
UCWTApkr82_QxpEr9Pa2m1CQ,Soheil Khodabandeh ,1,1,0,1,هیچکس,unknown,pending_review,
UCXx7IRnRe5w3iCS3b5ji-3g,Amyr IQ,1,1,0,0,هیچکس,unknown,pending_review,
UCZ_EaorXnxxb-lr4Et2AZaQ,ژلوفن,1,1,0,0,محسن یگانه,unknown,pending_review,
UCaBf4RgTCzJIEnvOlNuxYKw,Sedkhareji | سدخارجی,1,1,0,0,محسن چاووشی,unknown,pending_review,
UCbH4g2hM_uquaz5oqnfuCcQ,Persian Music & Concerts,1,1,0,1,محسن یگانه,unknown,pending_review,
UCd26HBP85gdHjA_BXfDJS0Q,siavash1994,1,1,0,1,هیچکس,unknown,pending_review,
UCg-gC2zxNjttTUiPMSuBydA,musics 212,1,1,0,0,علیرضا قربانی,unknown,pending_review,
UChdqGZPSamzW8MgaopXHvcA,Karizmaplus,1,1,0,0,سهراب پاکزاد,unknown,pending_review,
UCiEK11dphMbDnbSXNvLOFCg,AmirSadegh Rassouli,1,1,0,1,همایون شجریان,unknown,pending_review,
UCk4z-69inYrGU91ekoiAdGA,FSocietySJ,1,1,0,1,هیچکس,unknown,pending_review,
UCkD9OfpMEjuCHgsWH0aYqRw,Bamzo | بامزو,1,1,0,0,سهراب پاکزاد,unknown,pending_review,
UCkFy4v0k9tDYr0bYPiYu8MQ,Passions,1,1,0,1,محسن یگانه,unknown,pending_review,
UClXh_eGGA6q5qQ5QBhjLTFw,idehistaofficial,1,1,0,0,علیرضا قربانی,unknown,pending_review,
