artist_id,artist_name_fa,category,candidate_rank,video_id,video_title,channel_id,channel_title,published_at,source_query,manual_status,notes,api_video_title,api_video_description,api_channel_id,api_channel_title,api_published_at,category_id,default_language,default_audio_language,duration,definition,caption,licensed_content,view_count,like_count,comment_count,privacy_status,embeddable,made_for_kids,duration_seconds,screening_status_v2,screening_reason_v2,source_type,source_status,source_notes,screening_status_v3,screening_reason_v3,content_review_status_v1,content_review_reason_v1,proposed_content_status,proposed_content_reason,manual_review_confidence
1,همایون شجریان,classic_fusion,18,DtHwreZyIh4,Homayoun Shajarian - Khoob Shod (همایون شجریان و سهراب پورناظری - خوب شد),UCjibqVppvIlLK4lbXRsbhhw,Melodifa,2019-01-14T19:09:46Z,همایون شجریان,pending_review,,Homayoun Shajarian - Khoob Shod (همایون شجریان و سهراب پورناظری - خوب شد),"Homayoun Shajarian - Khoob shod  with lyrics on Melodifa
تصنیف خوب شد دردم دوا شد از آلبوم ایران من همایون شجریان را در کانال ملودیفا بشنوید و با لیریک فارسی ببینید.

#Shajarian #Homayoun #Melodifa
https://www.youtube.com/playlist?list=PLCcZ6mYwtCt6_Wb7yE0boEPq31gc5Akid

آواز: همایون شجریان
آهنگساز: سهراب پورناظری
ترانه : اهورا ایمان بر اساس مضمونی از داستان زال و رودابه
آلبوم: ایران من
تاریخ انتشار: شهریور ۹۷

#Homayounshajarian
#Iraneman
#Melodifa

Homayoun Shajarian - hümayun şeceryan sings “khoob shod” . This Persian music is presented here with lyrics. This music is a love song in Persian classic music.

تصنیف خوب شد همایون شجریان یک آهنگ ایرانی عاشقانه است در آواز دشتی که ملودی آن کاملا فضای موسیقی دستگاهی ایرانی را دنبال می کند اما در تنظیم فضایی تلفیقی را می شنویم.


راه امشب میبرد سویت مرا
میکشد در بند گیسویت مرا
گاه لیلا گاه مجنون میکند
گرگ و میشِ چشم آهویت مرا
من تو را بر شانه هایم میکشم
یا تو میخوانی به گیسویت مرا
زخم ها زد راه بر جانم ولی
زخمِ عشق آورده تا کویت مرا
خوب شد دردم دوا شد خوب شد
دل به عشقت به عشقت مبتلا شد خوب شد
خوب شد دردم دوا شد خوب شد
دل به عشقت به عشقت مبتلا شد خوب شد
راه امشب میبرد سویت مرا
میکشد در بند گیسویت مرا
گاه لیلا گاه مجنون میکند
گرگ و میشِ چشم آهویت مرا
من تو را بر شانه هایم میکشم
یا تو میخوانی به گیسویت مرا
زخم ها زد راه بر جانم ولی
زخمِ عشق آورده تا کویت مرا
خوب شد دردم دوا شد خوب شد
دل به عشقت به عشقت مبتلا شد خوب شد
خوب شد دردم دوا شد خوب شد
دل به عشقت به عشقت مبتلا شد خوب شد


Homayoun Shajarian - hümayun şeceryan (Persian: همايون شجريان‎) (born 21 May 1975) is Persian classical music and Persian classical crossover vocalist, and a Tombak player. ""Hava-ye Geryeh"" is one of his most famous songs. He has one daughter, Yasmine Shajarian.

He was born in Tehran in a music-dedicated family. He is the son of Mohammad Reza Shajarian, the grand master vocalist of Persian traditional music.

همایون شجریان (۳۱ اردیبهشت ۱۳۵۴ تهران) خوانندهٔ موسیقی سنتی ایرانی و نوازندهٔ تنبک و کمانچه است. وی پسر محمدرضا شجریان و برادر مژگان شجریان و برادر زن پرویز مشکاتیان است

همایون شجریان در ۳۱ اردیبهشت ۱۳۵۴ در تهران در خانواده‌ای سرشار از موسیقی متولد شد. وی فرزند محمدرضا شجریان است و از کودکی علاقه به موسیقی و ریتم در او نمایان بود تا آن که با تشخیص پدر نزد ناصر فرهنگ‌فر به فراگیری تکنیک و شناخت ریتم که اساس موسیقی است پرداخت و چند سالی هم آموختن را نزد جمشید محبی ادامه داد. از ده‌سالگی به همراه خواهرانش نزد پدر آواز را شروع کرد و در دوران بلوغ روزانه تکنیک آواز و صداسازی را به‌صورت فشرده فراگرفت. در همان زمان به هنرستان موسیقی رفت و کمانچه را به عنوان ساز تخصصی خود انتخاب کرد و در خارج از هنرستان به ادامهٔ فراگیری آن نزد اردشیر کامکار و آشنایی با تار و سنتور به صورت گوشی پرداخت.


آلبوم ایران من به عنوان جدیدترین اثر همایون شجریان و سهراب پورناظری یکی از بهترین آلبومهای موسیقی سنتی در سال ۹۷ بوده و باعث تحسین بسیاری از منتقدین موسیقی سنتی شده است
https://www.youtube.com/watch?v=u2WtwKd5laU",UCjibqVppvIlLK4lbXRsbhhw,Melodifa,2019-01-14T19:09:46Z,22,fa,fa,PT4M30S,hd,True,True,4661135,22279.0,1334.0,public,True,False,270,needs_review,insufficient_evidence,trusted_music_platform,trusted,top20_manual_audit_2026-07-10; confidence=medium_high,trusted_needs_content_review,trusted_source_but_v2_content_ambiguous,manual_review,insufficient_content_evidence_after_trusted_source,likely_release,manual_audit_full_track_licensed_trusted_platform,high
1,همایون شجریان,classic_fusion,21,UAuuh3c4Jyc,Homayoun Shajarian - Gholab  (همایون شجریان و سهراب پورناظری - تصنیف قلاب),UCjibqVppvIlLK4lbXRsbhhw,Melodifa,2019-01-14T18:52:29Z,همایون شجریان,pending_review,,Homayoun Shajarian - Gholab  (همایون شجریان و سهراب پورناظری - تصنیف قلاب),"Homayoun Shajarian - Gholab
تصنیف قلاب از آلبوم ایران من همایون شجریان را در کانال ملودیفا بشنوید و با لیریک فارسی ببینید

#Shajarian #Melodifa #Gholab
https://www.youtube.com/playlist?list=PLCcZ6mYwtCt6_Wb7yE0boEPq31gc5Akid

آواز: همایون شجریان
آهنگساز: سهراب پورناظری
ترانه بر اساس شعری از سعدی
آلبوم: ایران من
تاریخ انتشار: شهریور ۹۷

#Homayounshajarian
#iraneman
#melodifa

Homayoun Shajarian (hümayun şeceryan) sings Gholab, a poem from Saadi on a music created by Sohrab Pournazeri. In this persian music, homayoun presents Gholab, a story of love and distance. The Iranian music is created by persian instruments.

همایون شجریان در این تصنیف که آهنگساز آن سهراب پورناظری است شاهکاری از موسیقی ایرانی را عرضه می کند.
ز اندازه بیرون تشنه ام ساقی بیار آن آب را
اول مرا سیراب کن، وانگه بده اصحاب را
سعدی چو جورش میبری نزدیک او دیگر مرو. 
من میروم ای بی بصر؟ او می کشد قلاب را

Homayoun Shajarian - Gholab 
همایون شجریان - تصنیف قلاب
از آلبوم ایران من همایون شجریان وسهراب پورناظری

او می کشد قلاب را
او می کشد قلاب را
او می کشد قلاب را

ز اندازه بیرون تشنه ام ساقی بیار آن آب را
اول مرا سیراب کن وآن گه بده اصحاب را
من نیز چشم از خواب خوش بر می نکردم پیش از این
روز فراق دوستان شب خوش بگفتم خواب را
من نیز چشم از خواب خوش بر می نکردم پیش از این
روز فراق دوستان شب خوش
شب خوش
شب خوش بگفتم خواب را
مقدار یار همنفس چون من نداند هیچ کس
مقدار یار همنفس چون من نداند هیچ کس
ماهی که بر خشک اوفتد قیمت بداند آب را
سعدی چو جورش می بری نزدیک او دیگر مرو
سعدی چو جورش می بری نزدیک او دیگر مرو
ای بی بصر من می روم؟
ای بی بصر من می روم؟
او می کشد قلاب را
(او می کشد قلاب را)
او می کشد قلاب را
(او می کشد قلاب را)
او می کشد قلاب را
(او می کشد قلاب را)
او می کشد قلاب را

برای مشاهده آلبوم ایران من میتوانید بر لینک زیر کلیک کنید :
https://www.youtube.com/watch?v=u2WtwKd5laU

Homayoun Shajarian (Persian: همايون شجريان‎) (born 21 May 1975) is a Persian classical music and Persian classical crossover vocalist, and a Tombak player. ""Hava-ye Geryeh"" is one of his most famous songs. He has one daughter, Yasmine Shajarian. He was born in Tehran in a music-dedicated family. He is the son of Mohammad Reza Shajarian, the grand master vocalist of Persian traditional music.

همایون شجریان (۳۱ اردیبهشت ۱۳۵۴ تهران) خوانندهٔ موسیقی سنتی ایرانی و نوازندهٔ تنبک و کمانچه است. وی پسر محمدرضا شجریان و برادر مژگان شجریان و برادر زن پرویز مشکاتیان است

همایون شجریان در ۳۱ اردیبهشت ۱۳۵۴ در تهران در خانواده‌ای سرشار از موسیقی متولد شد. وی فرزند محمدرضا شجریان است و از کودکی علاقه به موسیقی و ریتم در او نمایان بود تا آن که با تشخیص پدر نزد ناصر فرهنگ‌فر به فراگیری تکنیک و شناخت ریتم که اساس موسیقی است پرداخت و چند سالی هم آموختن را نزد جمشید محبی ادامه داد. از ده‌سالگی به همراه خواهرانش نزد پدر آواز را شروع کرد و در دوران بلوغ روزانه تکنیک آواز و صداسازی را به‌صورت فشرده فراگرفت. در همان زمان به هنرستان موسیقی رفت و کمانچه را به عنوان ساز تخصصی خود انتخاب کرد و در خارج از هنرستان به ادامهٔ فراگیری آن نزد اردشیر کامکار و آشنایی با تار و سنتور به صورت گوشی پرداخت.

او از سال ۱۳۷۰ به‌همراه محمدرضا شجریان در کنسرت‌های آمریکا، اروپا و ایران (با تنبک) همراهی کرد و از ۱۳۷۸ به بعد در صحنهٔ کنسرت‌ها به هم‌خوانی با پدرش پرداخت. اولین اثر با حضور او یاد ایام نام دارد که در آن اثر همایون شجریان تنبک نوازی را بر عهده داشته‌است. همایون شجریان کنسرت‌های بسیاری را با بزرگان موسیقی اجرا کرده و آثار زیادی را به همراه آنان در ایران و جهان منتشر کرده‌است که می‌توان به آلبوم کنسرت‌های «بی تو بسر نمی‌شود» و «فریاد» اشاره کرد که هردو اثر در سال‌های ۲۰۰۳ و ۲۰۰۵ نامزد دریافت جایزه گرمی شدند

آلبوم ایران من بعنوان جدیدترین اثر همایون شجریان و سهراب پورناظری یکی از بهترین آلبومهای موسیقی سنتی در سال ۹۷ بوده و باعث تحسین بسیاری از منتقدین موسیقی سنتی شده است

حرکت اخیر و تحسین برانگیز همایون شجریان و همخوانی با تکتم، خواننده گروه سرود آوای همدم در موسسه خیریه توانبخشی همدم که ۴۰۰ دختر کم‌توان ذهنی را تحت پوشش داردبار دیگر نشان داد که همایون شجریان در ایران یک خواننده و هنرمند واقعا مردمی محسوب میشود",UCjibqVppvIlLK4lbXRsbhhw,Melodifa,2019-01-14T18:52:29Z,22,fa,fa,PT7M25S,hd,True,True,3157280,20058.0,1528.0,public,True,False,445,needs_review,insufficient_evidence,trusted_music_platform,trusted,top20_manual_audit_2026-07-10; confidence=medium_high,trusted_needs_content_review,trusted_source_but_v2_content_ambiguous,manual_review,insufficient_content_evidence_after_trusted_source,likely_release,manual_audit_full_track_licensed_trusted_platform,high
7,گرشا رضایی,pop,18,jhvv7cJ8D2k,Garsha Rezaei Ft. Hayedeh - Axe To | همخوانی آهنگ عکس تو گرشا رضایی و بانو هایده,UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,2023-12-07T14:30:10Z,گرشا رضایی,pending_review,,Garsha Rezaei Ft. Hayedeh - Axe To | همخوانی آهنگ عکس تو گرشا رضایی و بانو هایده,"Garsha Rezaei Ft. Hayedeh - Axe To | همخوانی آهنگ عکس تو گرشا رضایی و بانو هایده 

توی این ویدئو بااستفاده از هوش مصنوعی، آهنگ ""عکس تو"" از گرشا رضایی و زنده یاد بانو هایده اجرا شده. 
نظر شما چیه؟

برای شنیدن نسخه اورجینال آهنگ کافیه روی لینک زیر کلیک کنید:
https://youtu.be/7OKb2UNnPr4

------------------

متن آهنگ عکس تو از گرشا رضایی

یکی از خداشه تو تنهایی هرشب کنارت باشه
انگاری قراره این دل تا همیشه بی قرارت باشه
من واست در به درم اومدم تو رو ببرم
من دیگه گذشته آب از سرم
منم و دیوونگی
اصلا هرچی تو بگی
آخه من گذشته آب از سرم
چشمای تو دیدن داره عکس تو کشیدن داره
آسمون این عاشقی فقط با تو پریدن داره
چشمای تو دیدن داره عکس تو کشیدن داره
میدونی چقدر واسه تو دلم هوس رسیدن داره
آرزوم اینه که یه بار
واسم همه رو بزنی کنار
بیا نشونم بده که جونم بره با صدات و چشمات
عاشقی نمیشه دوبار بذار هرچی که میگن رو کنار
بیا تکونم بده که زدم گره خودمو به موهات
چشمای تو دیدن داره عکس تو کشیدن داره
آسمون این عاشقی فقط با تو پریدن داره
چشمای تو دیدن داره عکس تو کشیدن داره

میدونی چقدر واسه تو دلم هوس رسیدن داره

---------------------------------

#Hayedeh | #GarshaRezaei | #Axe_To | #Garsha_Rezaei | #Hayde
#گرشا_رضایی | #عکس_تو | #آهنگ_فارسی | #موسیقی_ایرانی | #موسیقی_پاپ | #موزیک | #موسیقی | #آهنگ",UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,2023-12-07T14:30:10Z,10,fa,,PT2M13S,hd,False,True,1045865,2831.0,119.0,public,True,False,133,needs_review,music_category_and_licensed_but_no_release_pattern,official_artist,trusted,top20_manual_audit_2026-07-10; confidence=high,trusted_needs_content_review,trusted_source_but_v2_content_ambiguous,manual_review,suspicious_collaboration_or_modified_content,non_release_modified_content,manual_audit_cross_era_duet_or_modified_content,high
