record_id,artist_name_fa,category,api_video_title,performance_percentile_final,artist_performance_median,category_performance_median,performance_residual_artist_median,performance_residual_category_median,title_has_music_video,title_has_lyric_video,duration_minutes
3_UhSnIS0P-cg,محسن چاووشی,pop,Mohsen Chavoshi - Havam Dobare Pase | محسن چاوشی -  هوام دوباره پسه  (Official Music Video),38.16,80.26,50.66,-42.10000000000001,-12.5,1,0,4.366666666666666
3_EBchKWBj1ko,محسن چاووشی,pop,Mohsen Chavoshi - Pesaram [ Lyric Video ] ( محسن چاوشی - پسرم ),88.16,80.26,50.66,7.8999999999999915,37.5,0,1,5.0
3_MLBoUSr9vZI,محسن چاووشی,pop,Mohsen Chavoshi - Alaj [ Lyric Video ] ( محسن چاوشی - علاج ),92.11,80.26,50.66,11.849999999999994,41.45,0,1,4.266666666666667
3_CAPkrogfXJk,محسن چاووشی,pop,Mohsen Chavoshi - Be Rasme Yadegar | محسن چاوشی -  به رسم یادگار  (Official Music Video),39.47,80.26,50.66,-40.790000000000006,-11.189999999999998,1,0,5.316666666666666
3__38Wou0AVcs,محسن چاووشی,pop,Mohsen Chavoshi - Ajab Oumadi [ Official Video ] (محسن چاوشی - عجب اومدی ),94.74,80.26,50.66,14.47999999999999,44.08,0,0,4.566666666666666
3_tmh17LnO0OU,محسن چاووشی,pop,Mohsen Chavoshi - Ajab Oumadi [ Lyric Video ] (محسن چاوشی - عجب اومدی ),80.26,80.26,50.66,0.0,29.60000000000001,0,1,4.65
3_H_GGwkKa6mM,محسن چاووشی,pop,Mohsen Chavoshi - Ya Mola [ Lyric Video ] ( محسن چاوشی - یامولا ),97.37,80.26,50.66,17.11,46.71000000000001,0,1,3.8333333333333335
3_JxwGTSxGCUM,محسن چاووشی,pop,Hasbi Allah,98.68,80.26,50.66,18.42,48.02000000000001,0,0,4.466666666666667
3_kVmxQRyj-WA,محسن چاووشی,pop,Mohsen Chavoshi - Marize Takhte Akhari [ Official Video ] ( محسن چاوشی - مریض تخت آخری ),96.05,80.26,50.66,15.789999999999992,45.39,0,0,4.133333333333334
3_chU8u8UCWg8,محسن چاووشی,pop,Mohsen Chavoshi - Zakhmie Aftab [ Official Video ] ( محسن چاشی - زخمی آفتاب ),93.42,80.26,50.66,13.159999999999997,42.760000000000005,0,0,3.566666666666667
4_tSA-WxB7ts8,فرزاد فرزین,pop,Farzad Farzin - Oghyanoos ( فرزاد فرزین - اقیانوس ),9.21,48.68,50.66,-39.47,-41.449999999999996,0,0,3.816666666666667
4_U-SNKX13tJc,فرزاد فرزین,pop,Farzad Farzin - Asheghaneh I Official Video ( فرزاد فرزین - عاشقانه ),43.42,48.68,50.66,-5.259999999999998,-7.239999999999995,0,0,3.9166666666666665
4_DAWCE0GXe2Y,فرزاد فرزین,pop,Farzad Farzin – Mankan (Official Music Video) – کلیپ «مانکن» فرزاد فرزین,44.74,48.68,50.66,-3.9399999999999977,-5.919999999999995,1,0,3.316666666666667
4_gOOcxWbdRgE,فرزاد فرزین,pop,Farzad Farzin - Asheghaneh - Official Video ( فرزاد فرزین - موزیک ویدئوی عاشقانه ),2.63,48.68,50.66,-46.05,-48.029999999999994,1,0,3.9166666666666665
4_ErJWJv7oZl4,فرزاد فرزین,pop,Farzad Farzin – Ayandeh (Official Music Video) | موزیک‌ویدئوی «آینده» فرزاد فرزین,28.95,48.68,50.66,-19.73,-21.709999999999997,1,0,4.016666666666667
4_3IOHKH0M53M,فرزاد فرزین,pop,Farzad Farzin – Bi Enteha (Official Music Video) | موزیک‌ویدئوی «بی انتها» فرزاد فرزین,60.53,48.68,50.66,11.850000000000001,9.870000000000005,1,0,3.2666666666666666
4_MaOhPH1bWJk,فرزاد فرزین,pop,Farzad Farzin - Man Be Jahanam - Official Video ( فرزاد فرزین - من به جهنم - ویدیو ),1.32,48.68,50.66,-47.36,-49.339999999999996,0,0,3.25
4_yXuQxa1ieGA,فرزاد فرزین,pop,Farzad Farzin - Kharabesh Kardi (Music Video) - موزیک ویدیو آهنگ خرابش کردی از فرزاد فرزین,11.84,48.68,50.66,-36.84,-38.81999999999999,1,0,4.883333333333334
4_lY0HiviZ-VE,فرزاد فرزین,pop,Farzad Farzin - Bi Enteha || فرزاد فرزین - بی انتها,5.26,48.68,50.66,-43.42,-45.4,0,0,3.283333333333333
4_04cQcPj2Qj8,فرزاد فرزین,pop,Farzad Farzin – Nagi ke Nagoftam (Mp3) – آهنگ «نگی که نگفتم» فرزاد فرزین,36.84,48.68,50.66,-11.839999999999996,-13.819999999999993,0,0,3.15
4_yVmTAyPIPgc,فرزاد فرزین,pop,Farzad Farzin - 🕺 Nagi ke Nagoftam (Official video) – موزیک ویدئوی نگی که نگفتم فرزاد فرزین,75.0,48.68,50.66,26.32,24.340000000000003,1,0,4.433333333333334
4_X9f9cevCym8,فرزاد فرزین,pop,Farzad Farzin & İlyas Yalçıntaş – 🎭 Neghab (Mask) – کلیپ نقاب فرزاد فرزین و ایلیاس یالچینتاش,86.84,48.68,50.66,38.160000000000004,36.18000000000001,0,0,4.016666666666667
4_vRhkav31tkI,فرزاد فرزین,pop,💫 Farzad Farzin - Javaher (New Camp) Official Music Video – ویدئوکلیپ سریال نیوکمپ فرزاد فرزین,48.68,48.68,50.66,0.0,-1.9799999999999969,1,0,3.033333333333333
4_q4kQ5Eor5vM,فرزاد فرزین,pop,Farzad Farzin - Cheshmat | OFFICIAL MUSIC VIDEO فرزاد فرزین - چشمات,56.58,48.68,50.66,7.899999999999999,5.920000000000002,1,0,3.4833333333333334
4_ZdEe9HWpIMo,فرزاد فرزین,pop,Farzad Farzin - Soghoot (Music Video) | فرزاد فرزین - موزیک ویدیوی آهنگ جدید سقوط,55.26,48.68,50.66,6.579999999999998,4.600000000000001,1,0,3.2333333333333334
4_ynz643RIo5o,فرزاد فرزین,pop,Farzad Farzin - Gheseye Ma Music Video | فرزاد فرزین - موزیک ویدیو آهنگ جدید قصه ما,53.95,48.68,50.66,5.270000000000003,3.2900000000000063,1,0,3.683333333333333
4_g7KvUmXIY60,فرزاد فرزین,pop,Farzad Farzin - Farar (Music Video) | فرزاد فرزین - موزیک ویدئوی آهنگ جدید فرار,69.74,48.68,50.66,21.059999999999995,19.08,1,0,3.466666666666667
4_k9U11IVfTZc,فرزاد فرزین,pop,Farzad Farzin - Rooz O Shab (Music Video) | فرزاد فرزین - موزیک ویدیو آهنگ روز و شب,72.37,48.68,50.66,23.690000000000005,21.710000000000008,1,0,3.8666666666666663
4_VpO87vdDXAc,فرزاد فرزین,pop,Farzad Farzin - Kolbeh (Music Video) | موزیک ویدیو آهنگ جدید کلبه از فرزاد فرزین,68.42,48.68,50.66,19.740000000000002,17.760000000000005,1,0,3.7333333333333334
5_cDNDVtoJhik,محسن یگانه,pop,Mohsen Yeganeh - Behet Ghol Midam ( I promise you ),100.0,55.260000000000005,50.66,44.739999999999995,49.34,0,0,4.75
5_PY9m5mYMIdQ,محسن یگانه,pop,Mohsen Yeganeh - Passing,67.11,55.260000000000005,50.66,11.849999999999994,16.450000000000003,0,0,3.75
5_qXw9pCpyVEc,محسن یگانه,pop,Vabastegi,35.53,55.260000000000005,50.66,-19.730000000000004,-15.129999999999995,0,0,3.0
5_witB-02AAao,محسن یگانه,pop,Mohsen Yeganeh - Moohat ( محسن یگانه - موهات),57.89,55.260000000000005,50.66,2.6299999999999955,7.230000000000004,0,0,3.1
5_hh-9qSUxkFk,محسن یگانه,pop,Mohsen Yeganeh - Nashkan Delamo ( محسن یگانه - نشکن دلمو ),52.63,55.260000000000005,50.66,-2.6300000000000026,1.970000000000006,0,0,4.4
5_OQjEpH0OXNo,محسن یگانه,pop,Mohsen Yeganeh - Khodkhah ( محسن یگانه - خودخواه ),81.58,55.260000000000005,50.66,26.319999999999993,30.92,0,0,4.183333333333334
5_nphqnZf9Uc0,محسن یگانه,pop,Mohsen Yeganeh - Sokoot ( محسن یگانه - سکوت ),32.89,55.260000000000005,50.66,-22.370000000000005,-17.769999999999996,0,0,3.566666666666667
5_u4y0jIoA9Yg,محسن یگانه,pop,Mohsen Yeganeh - Rage Khab ( محسن یگانه - رگ خواب ),19.74,55.260000000000005,50.66,-35.52000000000001,-30.919999999999998,0,0,4.816666666666666
5_n3_ViPY9yyk,محسن یگانه,pop,Mohsen Yeganeh - Nabashi ( محسن یگانه - نباشی ),3.95,55.260000000000005,50.66,-51.31,-46.709999999999994,0,0,3.8666666666666663
5_rL7sd3FqJ9A,محسن یگانه,pop,Mohsen Yeganeh - Havaei Shodi ( محسن یگانه - هوایی شدی ),7.89,55.260000000000005,50.66,-47.370000000000005,-42.769999999999996,0,0,3.7333333333333334
5_EcsR7-i4wgQ,محسن یگانه,pop,Mohsen Yeganeh - Nadaramet ( محسن یگانه - ندارمت ),76.32,55.260000000000005,50.66,21.059999999999988,25.659999999999997,0,0,3.8
5_sad2za8qPwQ,محسن یگانه,pop,Mohsen Yeganeh - Taghvime Mochaleh ( محسن یگانه - تقویم مچاله ),84.21,55.260000000000005,50.66,28.94999999999999,33.55,0,0,3.85
6_E1xgedbMDwg,سهراب پاکزاد,pop,Sohrab Pakzad - Khialet Jam (Music Video) - موزیک ویدیو آهنگ خیالت جمع از سهراب پاکزاد,51.32,21.05,50.66,30.27,0.6600000000000037,1,0,3.4
6_nsExqoIjHTQ,سهراب پاکزاد,pop,Sohrab Pakzad - Ashti - آهنگ آشتی از سهراب پاکزاد,13.16,21.05,50.66,-7.890000000000001,-37.5,0,0,2.7666666666666666
6_7EFxlwV-2MU,سهراب پاکزاد,pop,Sohrab Pakzad - Kie (Official Music Video) | سهراب پاکزاد - موزیک ویدیوی کیه,21.05,21.05,50.66,0.0,-29.609999999999996,1,0,3.6333333333333337
6_OH5768Sd18k,سهراب پاکزاد,pop,Sohrab Pakzad - Yaghi | آهنگ یاغی از سهراب پاکزاد,6.58,21.05,50.66,-14.47,-44.08,0,0,3.183333333333333
6_uNa3i6zGd98,سهراب پاکزاد,pop,Sohrab Pakzad - Yaghi ( Lyric Video ),50.0,21.05,50.66,28.95,-0.6599999999999966,0,1,3.2666666666666666
6_b6FCSE2_XkE,سهراب پاکزاد,pop,Sohrab Pakzad - Shookhi Nadaram (Lyric Video) ft. Asef Aria,14.47,21.05,50.66,-6.58,-36.19,0,1,2.85
6_gDsNVAWX0-g,سهراب پاکزاد,pop,Sohrab Pakzad - In Che Hessie ( Lyric Video ) ft. Amir Tabari,63.16,21.05,50.66,42.11,12.5,0,1,5.7
6_2JCi3fSTxwA,سهراب پاکزاد,pop,Sohrab Pakzad - Khateh Ghermez [ Lyric Video ] ( سهراب پاکزاد - خط قرمز ),17.11,21.05,50.66,-3.9400000000000013,-33.55,0,1,2.5
6_bVmRq89vjRY,سهراب پاکزاد,pop,Sohrab Pakzad - Emza Music Video | سهراب پاکزاد - موزیک ویدیو امضاء,18.42,21.05,50.66,-2.629999999999999,-32.239999999999995,1,0,3.1666666666666665
6_mMsf3f8ctTY,سهراب پاکزاد,pop,Sohrab Pakzad - Bombe | سهراب پاکزاد - بمبه,10.53,21.05,50.66,-10.520000000000001,-40.129999999999995,0,0,4.516666666666667
6_NAw9qZq3SSE,سهراب پاکزاد,pop,Sohrab Pakzad - Dokhtar Irooni [ Lyric Video ] (سهراب پاکزاد - دختر ایرونی ),85.53,21.05,50.66,64.48,34.870000000000005,0,1,2.8833333333333333
