artist_name_fa,category,release_count,positive_release_count,output_row_count,insufficient_row_count,active_row_count,fallback_row_count,historical_row_count,issue_count,issue_flags,audit_status
ساسی مانکن,rap_hiphop,15,2,2,0,0,0,2,0,,pass
سهراب پاکزاد,pop,13,1,2,1,0,1,0,0,,pass
علیرضا قربانی,classic_fusion,9,4,2,0,2,0,0,0,,pass
فرزاد فرزین,pop,19,1,2,1,0,1,0,0,,pass
محسن چاووشی,pop,21,13,4,0,3,1,0,0,,pass
محسن یگانه,pop,12,4,3,0,2,1,0,0,,pass
همایون شجریان,classic_fusion,8,1,1,1,0,0,0,0,,pass
هیچکس,rap_hiphop,7,4,2,0,2,0,0,0,,pass
گرشا رضایی,pop,11,0,2,1,0,1,0,0,,pass
