channel_id,artist_name_fa,api_video_title,view_count,like_count,licensed_content,category_id,duration,screening_status_v2,screening_reason_v2
UClp7AB4tDx0ioD1WSJNCBlQ,هیچکس,حرفای عجیب و جنجالی سامان ویلسون به هیچکس♨️#رپ #هیچکس #رپفارسی #سامان_ویلسون #مصاحبه #رپفارسی #رپر,33811,81.0,False,22,PT26S,likely_non_release,too_short_under_90_seconds
UCoZSdMt8rbbMIWhtTglKbgQ,علیرضا قربانی,اجرای زنده اهنگ مرا ببخش توسط علیرضا قربانی در کنسرت تهران#آهنگ #فیلم #کنسرت #موسیقی #علیرضا_قربانی,64301,2254.0,False,1,PT2M33S,likely_non_release,non_release_title_pattern
UCpG143VsbN_aNlxkHC9n1rA,ساسی مانکن,Sasy Mankan Ft Radin Band  - Ninash Nash (HQ),688116,2946.0,False,10,PT3M29S,needs_review,insufficient_evidence
UCpzPEdsHCpkrjFzkeKc6n3A,ساسی مانکن,صحبت های عاشقانه ی سپهرحیدری وآرام جوینده💔🥺#shorts #short #tiktok#ساسی #سپهر_حیدری #ساسی_مانکن,675200,4759.0,False,24,PT33S,likely_non_release,too_short_under_90_seconds
UCqMQlHv2vCC1hUvDGFvJqIw,هیچکس,Hichkas x Ho3ein x Shayea x Pishro x Sohrab MJ x Khalvat x Fadaei x Quf - Chi Shenidi (Saya Remix),262922,1643.0,False,10,PT10M42S,likely_non_release,non_release_title_pattern
UCqZeJVn5evgB93CPe2QMypg,همایون شجریان,آواز همایون شجریان - چه دانستم - غزل مولوی - دیوان شمس - چه دانستم که این سودا مرا زین سان کند مجنون,250374,3408.0,False,22,PT6M12S,needs_review,insufficient_evidence
UCvQF6ODadEBg5SESEbPWmcw,گرشا رضایی,Gole naz darom Garsha Rezaei گل ناز داروم گرشا رضایی,11344,272.0,False,22,PT47S,likely_non_release,too_short_under_90_seconds
UCwjQElxgabbU4OIbAXxhYjA,هیچکس,فری استایل هیچکس از ترک اختلاف👀🩸#رپفارس #رپفارسی#شورت #hiphop #rap #هیچکس #اختلاف#edit,54158,,False,22,PT20S,likely_non_release,too_short_under_90_seconds
UCxGDGm26uFZ9PJ3-JcXaPRA,هیچکس,معین‌زد آهنگ هیچکس رو تو کنسرت خوند😱🤷‍♂️#رپفارسی #هیچکس #معین_زد #اجرای_زنده #کنسرت #hichkas #rap,178227,1558.0,False,10,PT36S,likely_non_release,too_short_under_90_seconds
UCxMWUitJjW5TxxzV6lzxEjA,سهراب پاکزاد,بازداشت سهراب پاکزاد خواننده پاپ😑 #سهراب_پاکزاد #خواننده_ایرانی #کنسرت #کنسرت_تهران #تتلو #سفر,3865667,28933.0,False,22,PT50S,likely_non_release,too_short_under_90_seconds
UCzIjGS-HRN9NNK3fkkv9fsw,ساسی مانکن,sasy mankan (tehroono la kon) new ساسی مانکن تهرونو ال‌ای کن,870533,3686.0,False,10,PT3M33S,needs_review,insufficient_evidence
