channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes
UCtr7DrT-BGQnst11NLCsv_w,Persian Music,1,1,1,1,گرشا رضایی,unknown,pending_review,
UCw5LO6ba1yNC3cps4Zu_1Hg,Mohsen Chavoshi - Topic,1,1,1,1,محسن چاووشی,unknown,pending_review,
UCyGYNC7IQWWmyb_4h8OxElg,Raharecords - رهارکورد,1,1,1,1,علیرضا قربانی,unknown,pending_review,
UC-nWrwyltC2ibR8jp5y9Ucg,Moltafet Therapy,1,1,0,0,هیچکس,unknown,pending_review,
UC-rSD_7jPlK0uD8rlU12B1g,Filimo Medio,1,1,0,0,هیچکس,unknown,pending_review,
UC2Oqki4KiHm8B9Im45WCZHQ,Music melody,1,1,0,0,ساسی مانکن,unknown,pending_review,
UC2zgju7z2H0g9qRmftG_1iA,Sam Gh,1,1,0,0,همایون شجریان,unknown,pending_review,
UC3yxyivq_AXMRYu547R-9Rw,کنسرت ایرانی,1,1,0,0,محسن یگانه,unknown,pending_review,
UC4za7IvgFZguD8o-nS9LnaQ,Shahram Afshin,1,1,0,0,علیرضا قربانی,unknown,pending_review,
UC5qpK8RV882s3J1aCI0umig,Ghaphlan Khaligh (Ghaflan Khaligh),1,1,0,1,ساسی مانکن,unknown,pending_review,
UC6-OazUqmbrVK_b1uMYcjfA,Radio Javan,1,1,0,1,ساسی مانکن,unknown,pending_review,
UC6uOk4kSCROrgKkdHKv2I7w,Mrspecial,1,1,0,1,گرشا رضایی,unknown,pending_review,
UC70ecBCkLFaSAC5UCLPJHPA,RapFars,1,1,0,0,هیچکس,unknown,pending_review,
UC7zsmnc17R-LSTV4Dl5sN2w,Homayounshajarian fans,1,1,0,0,همایون شجریان,unknown,pending_review,
UC9eV0XXaHkTvPYh0oIAvbfQ,simorq farhang,1,1,0,1,همایون شجریان,unknown,pending_review,
UCAJbSaWpLovszCdQoGxa2mA,Ebrahim Mohamadi,1,1,0,0,همایون شجریان,unknown,pending_review,
UCCXJKONAosl9wdkS1x9XGvg,Justruler,1,1,0,1,محسن یگانه,unknown,pending_review,
UCFAIKt9lqX8_UR5avUWrQjg,StorySasy,1,1,0,0,ساسی مانکن,unknown,pending_review,
UCG6dTZjThIJih8BBkeS3FaA,Hafdang Old Channel | کانال قدیمی هفدانگ,1,1,0,1,همایون شجریان,unknown,pending_review,
UCGV-fV3AkEHYzf1iW2ADeMA,Day2DayWorld,1,1,0,0,همایون شجریان,unknown,pending_review,
