feature,feature_family,permutation_ap_mean,permutation_ap_std_across_folds,permutation_roc_mean,permutation_roc_std_across_folds,impurity_importance_mean,positive_ap_fold_count,positive_roc_fold_count,mean_rank_ap,mean_rank_roc,combined_rank
title_has_music_video,title_format,0.058645199759558994,0.026885442326876435,0.11254901960784318,0.05736056594196592,0.18756317167318354,5,5,1.0,1.0,1.0
title_has_lyric_video,title_format,0.04845989841198816,0.05817243953577355,0.01701960784313728,0.017088884939222195,0.03763165653016039,3,3,2.0,3.0,2.5
strategy_rz_duration_minutes,duration,0.03085618831657664,0.06983913057949617,0.0387058823529412,0.09475667456220108,0.20370020908453737,3,3,3.0,2.0,2.5
days_since_previous_release_missing,release_cadence,0.0020478658768132403,0.004806472003958946,0.0007058823529411798,0.0012827786065722426,0.004644692369212182,1,2,4.0,4.0,4.0
category_classic_fusion,category_context,0.0011177700696276493,0.010530875809451128,0.0006274509803921706,0.002267229728558773,0.010645155857286813,4,2,5.0,5.0,5.0
category_pop,category_context,-0.0012519225156222293,0.04445926342446749,-0.00262745098039214,0.0178326838588629,0.0220360101687146,3,2,7.0,6.0,6.5
category_rap_hiphop,category_context,0.0006934169030144082,0.009002938017502616,-0.00674509803921567,0.01980809507566842,0.01573209764792191,3,3,6.0,10.0,8.0
title_is_bilingual,title_language,-0.00527659700980136,0.002738580565265158,-0.005176470588235264,0.0074620660567083375,0.01240665061303265,0,1,8.0,9.0,8.5
title_has_official,title_format,-0.009708671439786001,0.014231120312601809,-0.0028235294117646983,0.008317285586251076,0.012828795892869626,1,2,10.0,7.0,8.5
strategy_rz_days_since_previous_release_imputed,release_cadence,-0.012868074941913984,0.06432758991288537,-0.004431372549019583,0.04991623125049585,0.1356624032450386,2,1,11.0,8.0,9.5
title_contains_persian,title_language,-0.009652686334420091,0.01382766490893873,-0.00678431372549018,0.007640268478407369,0.01318575255583232,0,0,9.0,11.0,10.0
title_has_collaboration,collaboration,-0.016076426623485466,0.03489477552257664,-0.007411764705882337,0.014836932419788548,0.00906029018748527,1,0,12.0,12.0,12.0
is_iran_weekend_release,timing,-0.019257618416441958,0.04305547784920387,-0.011254901960784295,0.020129148567896143,0.020320630678085764,1,1,14.0,13.0,13.5
strategy_rz_title_word_count,title_structure,-0.01786258631862348,0.05156716825135254,-0.03388235294117644,0.03616289133527666,0.08899467781322534,2,0,13.0,15.0,14.0
strategy_rz_release_hour_tehran,timing,-0.022212966528369023,0.04605316863000096,-0.017647058823529384,0.030622467019353682,0.09767264709502137,2,1,15.0,14.0,14.5
strategy_rz_title_character_count,title_structure,-0.0538919522342123,0.06417722886325923,-0.04937254901960782,0.052528054055893655,0.12791515858839228,1,0,16.0,16.0,16.0
