fold,feature,feature_family,test_rows,test_positive,fold_roc_auc,fold_average_precision,permutation_ap_mean,permutation_ap_std,permutation_roc_mean,permutation_roc_std,impurity_importance
1,strategy_rz_duration_minutes,duration,23,6,0.6568627450980392,0.4082264957264957,-0.03979290780026072,0.11680113933053808,-0.0007843137254901889,0.08779497979673241,0.2147084787363871
1,strategy_rz_release_hour_tehran,timing,23,6,0.6568627450980392,0.4082264957264957,0.027577849438143547,0.0631120490575354,0.023529411764705906,0.02702754657272591,0.09564734692532664
1,strategy_rz_days_since_previous_release_imputed,release_cadence,23,6,0.6568627450980392,0.4082264957264957,0.07484111748817629,0.04335221230904198,0.07784313725490198,0.033643882111568234,0.11947980568281263
1,strategy_rz_title_character_count,title_structure,23,6,0.6568627450980392,0.4082264957264957,-0.09478014305955479,0.07422788762070312,-0.005882352941176461,0.03050264546294911,0.1308269602951294
1,strategy_rz_title_word_count,title_structure,23,6,0.6568627450980392,0.4082264957264957,-0.02245343545343543,0.04811572565611231,-0.007843137254901947,0.026597372482844186,0.09576352779541326
1,is_iran_weekend_release,timing,23,6,0.6568627450980392,0.4082264957264957,-0.012300588300588285,0.02237493812933426,-0.00352941176470585,0.013408094899826502,0.0209242937741613
1,days_since_previous_release_missing,release_cadence,23,6,0.6568627450980392,0.4082264957264957,0.0,0.0,0.0011764705882353033,0.003185897413582754,0.004132629505306567
1,title_has_official,title_format,23,6,0.6568627450980392,0.4082264957264957,-0.03349736048265461,0.03917215937683531,-0.009999999999999988,0.009089668224705328,0.012507344358200645
1,title_has_music_video,title_format,23,6,0.6568627450980392,0.4082264957264957,0.04636881451981061,0.08298211912084623,0.13686274509803922,0.11548603474642848,0.17332043728645866
1,title_has_lyric_video,title_format,23,6,0.6568627450980392,0.4082264957264957,0.0,0.0,0.0,0.0,0.045180936231856664
1,title_has_collaboration,collaboration,23,6,0.6568627450980392,0.4082264957264957,0.0,0.0,0.0,0.0,0.008267409097739545
1,title_contains_persian,title_language,23,6,0.6568627450980392,0.4082264957264957,0.0,0.0,0.0,0.0,0.015417588643532973
1,title_is_bilingual,title_language,23,6,0.6568627450980392,0.4082264957264957,-0.0033047385620915072,0.009987364161306774,0.002549019607843159,0.006141356769947402,0.015456371763270358
1,category_classic_fusion,category_context,23,6,0.6568627450980392,0.4082264957264957,-0.01597347913524384,0.013921760933474627,-0.00019607843137248393,0.008431372549019628,0.009883216722577162
1,category_pop,category_context,23,6,0.6568627450980392,0.4082264957264957,-0.0569353889574478,0.05112742409542057,-0.016274509803921557,0.015760852128712623,0.025871713574097645
1,category_rap_hiphop,category_context,23,6,0.6568627450980392,0.4082264957264957,-0.00225326797385621,0.010473643865170823,0.004509803921568649,0.010038373126408014,0.012611939607729335
2,strategy_rz_duration_minutes,duration,23,6,0.5686274509803921,0.36559454191033136,0.06885635762299847,0.05486884691843773,0.08823529411764702,0.05998846486579747,0.15561800863518518
2,strategy_rz_release_hour_tehran,timing,23,6,0.5686274509803921,0.36559454191033136,-0.08602850188453903,0.06021967456453955,-0.05666666666666668,0.04123665070074186,0.11364890728981092
2,strategy_rz_days_since_previous_release_imputed,release_cadence,23,6,0.5686274509803921,0.36559454191033136,0.007184353514848854,0.040149099140294894,-0.020000000000000018,0.05172755648550927,0.12262865208349934
2,strategy_rz_title_character_count,title_structure,23,6,0.5686274509803921,0.36559454191033136,-0.11874960236415345,0.05901058575222552,-0.13705882352941176,0.06716909864200839,0.15479058393983244
2,strategy_rz_title_word_count,title_structure,23,6,0.5686274509803921,0.36559454191033136,-0.10002748366757656,0.05275172849857114,-0.09450980392156862,0.03428626352061865,0.10640796769939702
2,is_iran_weekend_release,timing,23,6,0.5686274509803921,0.36559454191033136,-0.08892552491081902,0.05484579298560431,-0.03921568627450984,0.017317178169270288,0.02450182043887799
2,days_since_previous_release_missing,release_cadence,23,6,0.5686274509803921,0.36559454191033136,0.0,0.0,0.0,0.0,0.003907698757984034
2,title_has_official,title_format,23,6,0.5686274509803921,0.36559454191033136,0.0022908496732026063,0.002227140366970858,0.007647058823529384,0.007148127895512987,0.011747162178291816
2,title_has_music_video,title_format,23,6,0.5686274509803921,0.36559454191033136,0.053803036850502826,0.04486667224560358,0.1264705882352941,0.11426932174961936,0.19080611830269845
2,title_has_lyric_video,title_format,23,6,0.5686274509803921,0.36559454191033136,0.0,0.0,0.0,0.0,0.04059612288659384
2,title_has_collaboration,collaboration,23,6,0.5686274509803921,0.36559454191033136,0.0002442002442002389,0.0068073692564569995,-0.0017647058823529371,0.006103679378930723,0.005099255110265364
2,title_contains_persian,title_language,23,6,0.5686274509803921,0.36559454191033136,-0.03411111111111113,0.014614807306036997,-0.015490196078431384,0.005220990963017425,0.012395710849441122
2,title_is_bilingual,title_language,23,6,0.5686274509803921,0.36559454191033136,-0.009666666666666697,0.00822597511950207,-0.00705882352941174,0.004401949866792857,0.010526316279271603
2,category_classic_fusion,category_context,23,6,0.5686274509803921,0.36559454191033136,0.002142857142857135,0.004573660169594876,0.0015686274509803867,0.0035941770156516267,0.011888651333604216
2,category_pop,category_context,23,6,0.5686274509803921,0.36559454191033136,-0.03555415499533148,0.055702284092476295,-0.003921568627451011,0.012707334702760514,0.024385243103702835
2,category_rap_hiphop,category_context,23,6,0.5686274509803921,0.36559454191033136,-0.011202147525676956,0.03538617004373623,0.003921568627450962,0.009998077477632891,0.011051781111543748
3,strategy_rz_duration_minutes,duration,23,6,0.6764705882352942,0.4269841269841269,0.030127455963369205,0.08723364879741016,0.04254901960784318,0.08800864135685445,0.2419113594875955
3,strategy_rz_release_hour_tehran,timing,23,6,0.6764705882352942,0.4269841269841269,-0.04991557324684266,0.05562575439295378,-0.0015686274509803689,0.02536621431968035,0.08267043610000455
3,strategy_rz_days_since_previous_release_imputed,release_cadence,23,6,0.6764705882352942,0.4269841269841269,-0.10293087980704088,0.06476955195434846,-0.004901960784313699,0.031080132321857558,0.135609000081982
3,strategy_rz_title_character_count,title_structure,23,6,0.6764705882352942,0.4269841269841269,-0.0560990204898874,0.06016064583820109,-0.04431372549019601,0.024975189534259853,0.12330051716059087
3,strategy_rz_title_word_count,title_structure,23,6,0.6764705882352942,0.4269841269841269,-0.016939670065057102,0.03577444143947666,-0.025686274509803857,0.02268840127641908,0.07333525251514818
3,is_iran_weekend_release,timing,23,6,0.6764705882352942,0.4269841269841269,-0.005294871794871814,0.0084653702031411,-0.0015686274509804,0.01044198192603477,0.021953792974609417
3,days_since_previous_release_missing,release_cadence,23,6,0.6764705882352942,0.4269841269841269,-0.000401002506265673,0.005728832120541027,-0.0003921568627450878,0.005532053325359167,0.005066029099770305
3,title_has_official,title_format,23,6,0.6764705882352942,0.4269841269841269,-0.0011052631578947402,0.0012988381767634848,-0.00470588235294116,0.0048980376458026475,0.011724962694661578
3,title_has_music_video,title_format,23,6,0.6764705882352942,0.4269841269841269,0.09152185437143029,0.06850824517297259,0.1452941176470589,0.08686717113496863,0.1790754698955097
3,title_has_lyric_video,title_format,23,6,0.6764705882352942,0.4269841269841269,0.02192338081308663,0.04537203767465099,0.027058823529411802,0.03438703653166724,0.03608384772871067
3,title_has_collaboration,collaboration,23,6,0.6764705882352942,0.4269841269841269,-0.0784738562091504,0.03428609369418462,-0.03392156862745091,0.014700652664883584,0.013924030450219619
3,title_contains_persian,title_language,23,6,0.6764705882352942,0.4269841269841269,-0.004986338395007138,0.012398123041156374,-0.0023529411764705555,0.01323493100445976,0.015456521011226574
