group_type,group_value,signal,n_signal_0,n_signal_1,high_or_top_rate_signal_0,high_or_top_rate_signal_1,high_or_top_rate_difference,median_performance_signal_0,median_performance_signal_1,median_performance_difference,mann_whitney_statistic,mann_whitney_pvalue
global,all,title_has_music_video,89,26,0.33707865168539325,0.0,-0.33707865168539325,54.55,42.105000000000004,-12.444999999999993,859.0,0.04668279369207972
global,all,title_has_lyric_video,103,12,0.23300970873786409,0.5,0.2669902912621359,50.0,71.055,21.055000000000007,753.5,0.21680564664129431
category,classic_fusion,title_has_music_video,16,1,0.3125,0.0,-0.3125,55.879999999999995,5.88,-49.99999999999999,0.0,0.11764705882352941
category,classic_fusion,title_has_lyric_video,17,0,0.29411764705882354,,,52.94,,,,
category,pop,title_has_music_video,51,25,0.37254901960784315,0.0,-0.37254901960784315,57.89,44.74,-13.149999999999999,486.0,0.09503302838942455
category,pop,title_has_lyric_video,64,12,0.203125,0.5,0.296875,48.025,71.055,23.03000000000001,481.0,0.16924014889659356
category,rap_hiphop,title_has_music_video,22,0,0.2727272727272727,,,52.275,,,,
category,rap_hiphop,title_has_lyric_video,22,0,0.2727272727272727,,,52.275,,,,
