protocol,model,rows,folds,positive_rows,negative_rows,pooled_accuracy,pooled_balanced_accuracy,pooled_precision,pooled_recall_sensitivity,pooled_specificity,pooled_f1,pooled_roc_auc,pooled_average_precision,pooled_tn,pooled_fp,pooled_fn,pooled_tp,mean_fold_balanced_accuracy,std_fold_balanced_accuracy,mean_fold_f1,std_fold_f1,mean_valid_fold_roc_auc,valid_roc_auc_fold_count,mean_valid_fold_average_precision,valid_average_precision_fold_count
leave_one_artist_out,dummy_prior,115,9,30,85,0.7391304347826086,0.5,0.0,0.0,1.0,0.0,0.17745098039215687,0.1828926677067888,85,0,30,0,0.5555555555555556,0.16666666666666669,0.0,0.0,0.5,8,0.29451774468221836,8
leave_one_artist_out,logistic_regression_balanced,115,9,30,85,0.5217391304347826,0.44999999999999996,0.20930232558139536,0.3,0.6,0.2465753424657534,0.4576470588235294,0.2374784801478073,51,34,21,9,0.598008473008473,0.16065923962327838,0.16885848356436592,0.20595912526684335,0.6671722374847375,8,0.4876672234086201,8
leave_one_artist_out,random_forest_balanced,115,9,30,85,0.5826086956521739,0.4911764705882353,0.25,0.3,0.6823529411764706,0.2727272727272727,0.5501960784313725,0.26816221605513446,58,27,21,9,0.6012650929317596,0.23011985394797116,0.23129154795821463,0.23184457606778275,0.5610052274114774,8,0.4034128426398163,8
stratified_5_fold,dummy_prior,115,5,30,85,0.7391304347826086,0.5,0.0,0.0,1.0,0.0,0.5,0.2608695652173913,85,0,30,0,0.5,0.0,0.0,0.0,0.5,5,0.2608695652173913,5
stratified_5_fold,logistic_regression_balanced,115,5,30,85,0.5739130434782609,0.5392156862745099,0.2978723404255319,0.4666666666666667,0.611764705882353,0.36363636363636365,0.5937254901960785,0.3363345683173921,52,33,16,14,0.5392156862745099,0.1428734474685262,0.3625350140056022,0.15935330563831465,0.6058823529411764,5,0.4195868265721206,5
stratified_5_fold,random_forest_balanced,115,5,30,85,0.6086956521739131,0.5735294117647058,0.3333333333333333,0.5,0.6470588235294118,0.4,0.6509803921568628,0.3795119735766023,55,30,15,15,0.5735294117647058,0.0899212565090399,0.4028959276018099,0.10187632047325076,0.6392156862745099,5,0.4297112049743629,5
