feature_family,feature_count,total_permutation_ap,mean_permutation_ap,total_permutation_roc,mean_permutation_roc,total_impurity_importance
title_format,3,0.09739642673176116,0.03246547557725372,0.12674509803921577,0.04224836601307192,0.23802362409621355
duration,1,0.03085618831657664,0.03085618831657664,0.0387058823529412,0.0387058823529412,0.20370020908453737
category_context,3,0.0005592644570198282,0.00018642148567327607,-0.00874509803921564,-0.0029150326797385464,0.048413263673923325
release_cadence,2,-0.010820209065100745,-0.0054101045325503725,-0.003725490196078403,-0.0018627450980392014,0.14030709561425078
title_language,2,-0.014929283344221451,-0.007464641672110726,-0.011960784313725444,-0.005980392156862722,0.02559240316886497
collaboration,1,-0.016076426623485466,-0.016076426623485466,-0.007411764705882337,-0.007411764705882337,0.00906029018748527
timing,2,-0.041470584944810984,-0.020735292472405492,-0.02890196078431368,-0.01445098039215684,0.11799327777310713
title_structure,2,-0.07175453855283578,-0.03587726927641789,-0.08325490196078425,-0.041627450980392125,0.21690983640161762
