outer_fold,train_rows,test_rows,train_positive,test_positive,selected_threshold,balanced_accuracy,precision,recall_sensitivity,specificity,f1,tn,fp,fn,tp,roc_auc,average_precision
1,92,23,24,6,0.35,0.6764705882352942,0.35294117647058826,1.0,0.35294117647058826,0.5217391304347826,6,11,0,6,0.6568627450980392,0.4082264957264957
2,92,23,24,6,0.35,0.5343137254901961,0.2777777777777778,0.8333333333333334,0.23529411764705882,0.4166666666666667,4,13,1,5,0.5686274509803921,0.36559454191033136
3,92,23,24,6,0.45,0.6274509803921569,0.36363636363636365,0.6666666666666666,0.5882352941176471,0.47058823529411764,10,7,2,4,0.6764705882352942,0.4269841269841269
4,92,23,24,6,0.45,0.6568627450980392,0.4,0.6666666666666666,0.6470588235294118,0.5,11,6,2,4,0.7450980392156863,0.5352813852813852
5,92,23,24,6,0.4,0.6225490196078431,0.3333333333333333,0.8333333333333334,0.4117647058823529,0.47619047619047616,7,10,1,5,0.5490196078431373,0.41246947496947495
