channel_id,api_channel_title,candidate_videos,matched_artists,licensed_videos,music_category_videos,artists,source_type,source_status,source_notes,proposed_source_type,proposed_source_status,classification_confidence
UCIsP6PqqS0IJ4tQroGs39dA,Iranian Diaspora | خانه ایرانیان خارج از کشور 🌍,1,1,0,0,علیرضا قربانی,unknown,pending_review,,media_or_news,excluded,high
UCLqt9UYZ1KHgPRfGJjIzX9A,Majid Noori,1,1,0,0,محسن یگانه,unknown,pending_review,,unknown,excluded,medium
UCM-IfEJlVROv5Ev04-uIbKg,RapFars,1,1,0,0,هیچکس,unknown,pending_review,,media_or_news,excluded,high
UCObiBmofF-Cz-zmaA4AwUiQ,زن زندگی آزادی ,1,1,0,0,هیچکس,unknown,pending_review,,fan_or_reupload,pending_review,low
UCPXz0-xxF-CpeygWBdyG8dg,Semi Journey,1,1,0,0,علیرضا قربانی,unknown,pending_review,,entertainment,excluded,high
UCQycZB9MF-PAouhfh_DCk7Q,NAVID KARATE,1,1,0,0,محسن یگانه,unknown,pending_review,,concert_channel,excluded,medium
UCU5NicMWNILYk1nbxJkCzsA,Faranak99,1,1,0,1,علیرضا قربانی,unknown,pending_review,,third_party_music,pending_review,medium
UCWTApkr82_QxpEr9Pa2m1CQ,Soheil Khodabandeh ,1,1,0,1,هیچکس,unknown,pending_review,,remix_channel,excluded,high
UCXx7IRnRe5w3iCS3b5ji-3g,Amyr IQ,1,1,0,0,هیچکس,unknown,pending_review,,media_or_news,excluded,high
UCZ_EaorXnxxb-lr4Et2AZaQ,ژلوفن,1,1,0,0,محسن یگانه,unknown,pending_review,,entertainment,excluded,high
UCaBf4RgTCzJIEnvOlNuxYKw,Sedkhareji | سدخارجی,1,1,0,0,محسن چاووشی,unknown,pending_review,,third_party_music,pending_review,medium
UCbH4g2hM_uquaz5oqnfuCcQ,Persian Music & Concerts,1,1,0,1,محسن یگانه,unknown,pending_review,,concert_channel,excluded,high
UCd26HBP85gdHjA_BXfDJS0Q,siavash1994,1,1,0,1,هیچکس,unknown,pending_review,,third_party_music,pending_review,medium
UCg-gC2zxNjttTUiPMSuBydA,musics 212,1,1,0,0,علیرضا قربانی,unknown,pending_review,,third_party_music,pending_review,low
UChdqGZPSamzW8MgaopXHvcA,Karizmaplus,1,1,0,0,سهراب پاکزاد,unknown,pending_review,,media_or_news,excluded,high
UCiEK11dphMbDnbSXNvLOFCg,AmirSadegh Rassouli,1,1,0,1,همایون شجریان,unknown,pending_review,,third_party_music,excluded,medium
UCk4z-69inYrGU91ekoiAdGA,FSocietySJ,1,1,0,1,هیچکس,unknown,pending_review,,fan_or_reupload,pending_review,medium
UCkD9OfpMEjuCHgsWH0aYqRw,Bamzo | بامزو,1,1,0,0,سهراب پاکزاد,unknown,pending_review,,entertainment,excluded,high
UCkFy4v0k9tDYr0bYPiYu8MQ,Passions,1,1,0,1,محسن یگانه,unknown,pending_review,,educational_translation,excluded,high
UClXh_eGGA6q5qQ5QBhjLTFw,idehistaofficial,1,1,0,0,علیرضا قربانی,unknown,pending_review,,media_or_news,excluded,high
